GeoFips,accommodation_food
17000,560504
17001,3020
17003,111
17005,387
17007,1112
17009,(D)
17011,788
17013,144
17015,361
17017,(D)
17019,10446
17021,747
17023,557
17025,291
17027,1239
17029,2147
17031,262701
17033,473
17035,(D)
17037,3384
17039,484
17041,805
17043,47481
17045,411
17047,(D)
17049,2521
17051,764
17053,257
17055,1089
17057,622
17059,61
17061,(D)
17063,1760
17065,(D)
17067,(D)
17069,(D)
17071,(D)
17073,1173
17075,557
17077,2709
17079,(D)
17081,2024
17083,746
17085,1579
17087,(D)
17089,18614
17091,4028
17093,3473
17095,2113
17097,28311
17099,4660
17101,(D)
17103,851
17105,887
17107,846
17109,1104
17111,9911
17113,10469
17115,4820
17117,972
17119,11851
17121,1134
17123,259
17125,(D)
17127,799
17129,129
17131,216
17133,1477
17135,1072
17137,1503
17139,273
17141,1393
17143,8270
17145,419
17147,564
17149,374
17151,37
17153,(D)
17155,76
17157,896
17159,533
17161,6105
17163,11223
17165,768
17167,10011
17169,(D)
17171,101
17173,536
17175,(D)
17177,1352
17179,6217
17181,453
17183,2284
17185,277
17187,595
17189,(D)
17191,387
17193,372
17195,1945
17197,23612
17199,3049
17201,11779
17203,976
17998,"512,635 E"
17999,"44,692 E"
14010,10469
16020,(D)
16060,"5,758 E"
16580,11010
16980,(D)
19180,2284
19340,17669
19500,4820
28100,4028
37900,(D)
40420,12891
41180,138553
44100,10140
15460,"1,897 E"
16460,1134
16660,"2,147 E"
19940,851
20820,2521
22800,(D)
23300,1352
23660,2113
27300,1604
30660,846
31380,1104
34500,2024
36837,5524
37140,"5,817 E"
38700,887
39500,"3,020 E"
40300,1393
44580,1945
45380,747
89145,11356
89161,3528
89164,"5,695 E"
89176,"448,459 E"
89209,20899
89221,2796
89424,"6,763 E"
89448,4807
89466,15636
89476,141942
89522,13337
16984,345465
20994,25471
29404,35252
