GeoFips,admin_support_waste
17000,549239
17001,1741
17003,55
17005,(D)
17007,1224
17009,(D)
17011,(D)
17013,48
17015,241
17017,374
17019,5572
17021,(D)
17023,192
17025,251
17027,(D)
17029,3330
17031,273811
17033,(D)
17035,80
17037,3023
17039,446
17041,319
17043,69337
17045,184
17047,(D)
17049,752
17051,301
17053,183
17055,673
17057,(D)
17059,60
17061,133
17063,927
17065,(D)
17067,260
17069,(D)
17071,(D)
17073,642
17075,365
17077,(D)
17079,74
17081,1179
17083,200
17085,399
17087,174
17089,25497
17091,3981
17093,2057
17095,871
17097,35361
17099,2512
17101,161
17103,554
17105,323
17107,(D)
17109,292
17111,10219
17113,6377
17115,(D)
17117,502
17119,5521
17121,508
17123,99
17125,109
17127,(D)
17129,126
17131,207
17133,828
17135,373
17137,(D)
17139,138
17141,873
17143,9449
17145,255
17147,181
17149,158
17151,(D)
17153,(D)
17155,(D)
17157,799
17159,177
17161,6006
17163,5114
17165,(D)
17167,8589
17169,51
17171,(D)
17173,(D)
17175,(D)
17177,1443
17179,1851
17181,(D)
17183,1985
17185,(D)
17187,225
17189,(D)
17191,118
17193,(D)
17195,1443
17197,23993
17199,2569
17201,12656
17203,461
17998,522300
17999,26939
14010,6377
16020,(D)
16060,(D)
16580,5753
16980,469260
19180,1985
19340,14247
19500,(D)
28100,3981
37900,(D)
40420,13880
41180,110526
44100,8715
15460,"1,057 E"
16460,508
16660,3410
19940,554
20820,752
22800,1461
23300,1443
23660,871
27300,465
30660,(D)
31380,292
34500,1179
36837,2912
37140,3275
38700,323
39500,"1,741 E"
40300,873
44580,1443
45380,(D)
89145,6700
89161,"2,518 E"
89164,"3,551 E"
89176,479031
89209,18004
89221,1997
89424,3901
89448,2651
89466,16196
89476,113123
89522,9948
16984,378287
20994,30577
29404,41267
Legend / Footnotes:,
1/ The estimates of employment for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.,
* Nonmetropolitan portion includes micropolitan counties.,
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018.",
E The estimate shown here constitutes the major portion of the true estimate.,
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.,
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 2001-2017.",
