GeoFips,retail_trade,transportation_warehousing,admin_support_waste,educational_services,accommodation_food
17000,710934,492507,549239,215498,560504
17001,5407,1357,1741,812,3020
17003,113,(D),55,(D),111
17005,542,(D),(D),(D),387
17007,1794,1618,1224,160,1112
17009,(D),843,(D),88,(D)
17011,1535,2482,(D),(D),788
17013,144,52,48,(D),144
17015,660,303,241,(D),361
17017,635,(D),374,8,(D)
17019,10796,4599,5572,1932,10446
17021,1718,(D),(D),(D),747
17023,692,230,192,14,557
17025,637,(D),251,(D),291
17027,2337,628,(D),208,1239
17029,3032,612,3330,224,2147
17031,266676,274641,273811,133408,262701
17033,1040,180,(D),(D),473
17035,606,135,80,9,(D)
17037,6250,(D),3023,624,3384
17039,897,(D),446,15,484
17041,1205,(D),319,79,805
17043,68207,44898,69337,21425,47481
17045,833,264,184,(D),411
17047,261,(D),(D),8,(D)
17049,3502,1410,752,238,2521
17051,940,(D),301,(D),764
17053,620,247,183,(D),257
17055,1742,413,673,64,1089
17057,1512,299,(D),52,622
17059,105,191,60,11,61
17061,497,(D),133,(D),(D)
17063,4175,1701,927,346,1760
17065,270,116,(D),11,(D)
17067,663,253,260,(D),(D)
17069,92,60,(D),9,(D)
17071,183,70,(D),8,(D)
17073,2395,805,642,129,1173
17075,1727,(D),365,(D),557
17077,3816,851,(D),414,2709
17079,408,161,74,(D),(D)
17081,2970,2013,1179,230,2024
17083,1043,(D),200,(D),746
17085,1343,(D),399,(D),1579
17087,285,(D),174,(D),(D)
17089,25391,9295,25497,5576,18614
17091,6478,3076,3981,1554,4028
17093,6265,3878,2057,803,3473
17095,3159,(D),871,(D),2113
17097,47214,15090,35361,9353,28311
17099,7010,3265,2512,536,4660
17101,478,(D),161,12,(D)
17103,1668,479,554,(D),851
17105,1868,1159,323,134,887
17107,1247,(D),(D),670,846
17109,1596,(D),292,126,1104
17111,16616,(D),10219,2402,9911
17113,10654,(D),6377,2264,10469
17115,6139,3618,(D),1038,4820
17117,2017,649,502,(D),972
17119,15203,13748,5521,1573,11851
17121,1591,1378,508,118,1134
17123,419,(D),99,12,259
17125,461,(D),109,11,(D)
17127,435,(D),(D),11,799
17129,450,(D),126,32,129
17131,554,(D),207,(D),216
17133,1571,(D),828,311,1477
17135,1696,297,373,46,1072
17137,2363,642,(D),1030,1503
17139,542,337,138,(D),273
17141,2477,1558,873,(D),1393
17143,11589,2668,9449,3097,8270
17145,784,333,255,(D),419
17147,629,(D),181,(D),564
17149,767,(D),158,31,374
17151,(D),(D),(D),(D),37
17153,177,89,(D),(D),(D)
17155,191,180,(D),12,76
17157,1767,(D),799,(D),896
17159,890,1255,177,68,533
17161,8782,(D),6006,2982,6105
17163,15575,6778,5114,2529,11223
17165,1392,582,(D),42,768
17167,13854,2653,8589,2543,10011
17169,251,76,51,11,(D)
17171,121,64,(D),(D),101
17173,937,(D),(D),53,536
17175,236,136,(D),12,(D)
17177,2350,(D),1443,209,1352
17179,8147,4091,1851,603,6217
17181,884,164,(D),(D),453
17183,4135,1950,1985,316,2284
17185,456,(D),(D),(D),277
17187,795,513,225,(D),595
17189,923,(D),(D),(D),(D)
17191,728,(D),118,(D),387
17193,847,(D),(D),(D),372
17195,3029,1692,1443,499,1945
17197,37416,35229,23993,7190,23612
17199,4292,1057,2569,170,3049
17201,17230,8082,12656,2489,11779
17203,1684,(D),461,351,976
17998,632625,457910,522300,207590,"512,635 E"
17999,78309,34597,26939,7908,"44,692 E"
14010,10654,(D),6377,2264,10469
16020,7679,1666,(D),595,(D)
16060,8393,"1,908 E",(D),584 E,"5,758 E"
16580,11425,(D),5753,(D),11010
16980,528800,416553,469260,190574,(D)
19180,4135,1950,1985,316,2284
19340,25939,8590,14247,(D),17669
19500,6139,3618,(D),1038,4820
28100,6478,3076,3981,1554,4028
37900,23587,7887,(D),4127,(D)
40420,19024,9700,13880,2649,12891
41180,172956,77403,110526,56472,138553
44100,14304,(D),8715,2575,10140
15460,3607,1387,"1,057 E",272,"1,897 E"
16460,1591,1378,508,118,1134
16660,3638,747,3410,233,"2,147 E"
19940,1668,479,554,(D),851
20820,3502,1410,752,238,2521
22800,3213,1169,1461,246,(D)
23300,2350,(D),1443,209,1352
23660,3159,(D),871,(D),2113
27300,2484,706,465,"1,030 E",1604
30660,1247,(D),(D),670,846
31380,1596,(D),292,126,1104
34500,2970,2013,1179,230,2024
36837,8736,5927,2912,548 E,5524
37140,8130,4013,3275,428,"5,817 E"
38700,1868,1159,323,134,887
39500,5819,1607,"1,741 E",(D),"3,020 E"
40300,2477,1558,873,(D),1393
44580,3029,1692,1443,499,1945
45380,1718,(D),(D),(D),747
89145,12522,(D),6700,2398,11356
89161,6820,2556,"2,518 E",518,3528
89164,9329,3174,"3,551 E",(D),"5,695 E"
89176,550403,"415,810 E",479031,"193,203 E","448,459 E"
89209,31375,11032,18004,"6,713 E",20899
89221,4697,2171,1997,(D),2796
89424,10098,(D),3901,557,"6,763 E"
89448,9117,"2,250 E",2651,1514,4807
89466,23851,"11,258 E",16196,"2,858 E",15636
89476,178413,79643,113123,56812,141942
89522,19753,4382,9948,4380,13337
16984,393090,"356,469 E",378287,164771,345465
20994,37906,(D),30577,7003,25471
29404,57734,22654,41267,10903,35252
