GeoFips,educational_services
17000,215498
17001,812
17003,(D)
17005,(D)
17007,160
17009,88
17011,(D)
17013,(D)
17015,(D)
17017,8
17019,1932
17021,(D)
17023,14
17025,(D)
17027,208
17029,224
17031,133408
17033,(D)
17035,9
17037,624
17039,15
17041,79
17043,21425
17045,(D)
17047,8
17049,238
17051,(D)
17053,(D)
17055,64
17057,52
17059,11
17061,(D)
17063,346
17065,11
17067,(D)
17069,9
17071,8
17073,129
17075,(D)
17077,414
17079,(D)
17081,230
17083,(D)
17085,(D)
17087,(D)
17089,5576
17091,1554
17093,803
17095,(D)
17097,9353
17099,536
17101,12
17103,(D)
17105,134
17107,670
17109,126
17111,2402
17113,2264
17115,1038
17117,(D)
17119,1573
17121,118
17123,12
17125,11
17127,11
17129,32
17131,(D)
17133,311
17135,46
17137,1030
17139,(D)
17141,(D)
17143,3097
17145,(D)
17147,(D)
17149,31
17151,(D)
17153,(D)
17155,12
17157,(D)
17159,68
17161,2982
17163,2529
17165,42
17167,2543
17169,11
17171,(D)
17173,53
17175,12
17177,209
17179,603
17181,(D)
17183,316
17185,(D)
17187,(D)
17189,(D)
17191,(D)
17193,(D)
17195,499
17197,7190
17199,170
17201,2489
17203,351
17998,207590
17999,7908
14010,2264
16020,595
16060,584 E
16580,(D)
16980,190574
19180,316
19340,(D)
19500,1038
28100,1554
37900,4127
40420,2649
41180,56472
44100,2575
15460,272
16460,118
16660,233
19940,(D)
20820,238
22800,246
23300,209
23660,(D)
27300,"1,030 E"
30660,670
31380,126
34500,230
36837,548 E
37140,428
38700,134
39500,(D)
40300,(D)
44580,499
45380,(D)
89145,2398
89161,518
89164,(D)
89176,"193,203 E"
89209,"6,713 E"
89221,(D)
89424,557
89448,1514
89466,"2,858 E"
89476,56812
89522,4380
16984,164771
20994,7003
29404,10903
