GeoFips,retail_trade
17000,710934
17001,5407
17003,113
17005,542
17007,1794
17009,(D)
17011,1535
17013,144
17015,660
17017,635
17019,10796
17021,1718
17023,692
17025,637
17027,2337
17029,3032
17031,266676
17033,1040
17035,606
17037,6250
17039,897
17041,1205
17043,68207
17045,833
17047,261
17049,3502
17051,940
17053,620
17055,1742
17057,1512
17059,105
17061,497
17063,4175
17065,270
17067,663
17069,92
17071,183
17073,2395
17075,1727
17077,3816
17079,408
17081,2970
17083,1043
17085,1343
17087,285
17089,25391
17091,6478
17093,6265
17095,3159
17097,47214
17099,7010
17101,478
17103,1668
17105,1868
17107,1247
17109,1596
17111,16616
17113,10654
17115,6139
17117,2017
17119,15203
17121,1591
17123,419
17125,461
17127,435
17129,450
17131,554
17133,1571
17135,1696
17137,2363
17139,542
17141,2477
17143,11589
17145,784
17147,629
17149,767
17151,(D)
17153,177
17155,191
17157,1767
17159,890
17161,8782
17163,15575
17165,1392
17167,13854
17169,251
17171,121
17173,937
17175,236
17177,2350
17179,8147
17181,884
17183,4135
17185,456
17187,795
17189,923
17191,728
17193,847
17195,3029
17197,37416
17199,4292
17201,17230
17203,1684
17998,632625
17999,78309
14010,10654
16020,7679
16060,8393
16580,11425
16980,528800
19180,4135
19340,25939
19500,6139
28100,6478
37900,23587
40420,19024
41180,172956
44100,14304
15460,3607
16460,1591
16660,3638
19940,1668
20820,3502
22800,3213
23300,2350
23660,3159
27300,2484
30660,1247
31380,1596
34500,2970
36837,8736
37140,8130
38700,1868
39500,5819
40300,2477
44580,3029
45380,1718
89145,12522
89161,6820
89164,9329
89176,550403
89209,31375
89221,4697
89424,10098
89448,9117
89466,23851
89476,178413
89522,19753
16984,393090
20994,37906
29404,57734
