GeoFips,transportation_warehousing
17000,492507
17001,1357
17003,(D)
17005,(D)
17007,1618
17009,843
17011,2482
17013,52
17015,303
17017,(D)
17019,4599
17021,(D)
17023,230
17025,(D)
17027,628
17029,612
17031,274641
17033,180
17035,135
17037,(D)
17039,(D)
17041,(D)
17043,44898
17045,264
17047,(D)
17049,1410
17051,(D)
17053,247
17055,413
17057,299
17059,191
17061,(D)
17063,1701
17065,116
17067,253
17069,60
17071,70
17073,805
17075,(D)
17077,851
17079,161
17081,2013
17083,(D)
17085,(D)
17087,(D)
17089,9295
17091,3076
17093,3878
17095,(D)
17097,15090
17099,3265
17101,(D)
17103,479
17105,1159
17107,(D)
17109,(D)
17111,(D)
17113,(D)
17115,3618
17117,649
17119,13748
17121,1378
17123,(D)
17125,(D)
17127,(D)
17129,(D)
17131,(D)
17133,(D)
17135,297
17137,642
17139,337
17141,1558
17143,2668
17145,333
17147,(D)
17149,(D)
17151,(D)
17153,89
17155,180
17157,(D)
17159,1255
17161,(D)
17163,6778
17165,582
17167,2653
17169,76
17171,64
17173,(D)
17175,136
17177,(D)
17179,4091
17181,164
17183,1950
17185,(D)
17187,513
17189,(D)
17191,(D)
17193,(D)
17195,1692
17197,35229
17199,1057
17201,8082
17203,(D)
17998,457910
17999,34597
14010,(D)
16020,1666
16060,"1,908 E"
16580,(D)
16980,416553
19180,1950
19340,8590
19500,3618
28100,3076
37900,7887
40420,9700
41180,77403
44100,(D)
15460,1387
16460,1378
16660,747
19940,479
20820,1410
22800,1169
23300,(D)
23660,(D)
27300,706
30660,(D)
31380,(D)
34500,2013
36837,5927
37140,4013
38700,1159
39500,1607
40300,1558
44580,1692
45380,(D)
89145,(D)
89161,2556
89164,3174
89176,"415,810 E"
89209,11032
89221,2171
89424,(D)
89448,"2,250 E"
89466,"11,258 E"
89476,79643
89522,4382
16984,"356,469 E"
20994,(D)
29404,22654
Legend / Footnotes:,
1/ The estimates of employment for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.,
* Nonmetropolitan portion includes micropolitan counties.,
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018.",
E The estimate shown here constitutes the major portion of the true estimate.,
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.,
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 2001-2017.",
