GeoFips,accommodation_food
29000,282842
29001,1345
29003,137
29005,153
29007,595
29009,1112
29011,(D)
29013,378
29015,496
29017,(D)
29019,11461
29021,4176
29023,2049
29025,(D)
29027,1238
29029,3581
29031,4279
29033,(D)
29035,(D)
29037,3433
29039,382
29041,(D)
29043,2348
29045,150
29047,10975
29049,(D)
29051,3639
29053,(D)
29055,594
29057,117
29059,329
29061,(D)
29063,176
29065,356
29067,(D)
29069,795
29071,3801
29073,(D)
29075,(D)
29077,17273
29079,(D)
29081,(D)
29083,796
29085,105
29087,(D)
29089,(D)
29091,1353
29093,194
29095,38335
29097,5003
29099,6213
29101,2019
29103,(D)
29105,1260
29107,904
29109,897
29111,(D)
29113,1122
29115,(D)
29117,(D)
29119,384
29121,591
29123,324
29125,65
29127,1483
29129,(D)
29131,637
29133,(D)
29135,247
29137,179
29139,254
29141,646
29143,(D)
29145,2160
29147,930
29149,177
29151,(D)
29153,(D)
29155,(D)
29157,(D)
29159,1738
29161,2185
29163,398
29165,5839
29167,611
29169,2660
29171,(D)
29173,(D)
29175,667
29177,378
29179,138
29181,215
29183,19335
29185,110
29186,522
29187,2255
29189,56769
29195,684
29197,(D)
29199,(D)
29201,1305
29203,(D)
29205,(D)
29207,771
29209,978
29211,(D)
29213,9206
29215,(D)
29217,(D)
29219,734
29221,286
29223,250
29225,775
29227,23
29229,(D)
29510,22540
29998,226604
29999,56238
16020,(D)
17860,12541
27620,(D)
27900,7163
28140,(D)
41140,4575
41180,138553
44180,21336
14700,9206
22100,2255
22780,2660
22800,(D)
25300,"1,483 E"
28380,795
28860,"1,345 E"
30060,1260
32180,684
32340,930
33020,595
33620,667
38740,2264
39500,"3,020 E"
40620,2185
42740,1738
43460,1305
47660,2019
48460,1353
89161,3528
89164,"5,695 E"
89190,13803
89309,8369
89312,"113,633 E"
89448,4807
89476,141942
Legend / Footnotes:,
1/ The estimates of employment for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.,
* Nonmetropolitan portion includes micropolitan counties.,
"Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget bulletin no. 18-04 issued September 14, 2018.",
E The estimate shown here constitutes the major portion of the true estimate.,
(D) Not shown to avoid disclosure of confidential information; estimates are included in higher-level totals.,
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 2001-2017.",
