GeoFips,retail_trade,transportation_warehousing,admin_support_waste,educational_services,accommodation_food
29000,383835,152786,208670,85272,282842
29001,1856,(D),(D),(D),1345
29003,563,(D),285,(D),137
29005,260,127,(D),0,153
29007,1384,569,529,(D),595
29009,1934,(D),859,57,1112
29011,615,(D),323,34,(D)
29013,791,237,(D),(D),378
29015,947,(D),162,(D),496
29017,412,(D),(D),(D),(D)
29019,12854,3036,5668,3326,11461
29021,6352,2287,3697,463,4176
29023,3233,910,1408,(D),2049
29025,642,205,92,14,(D)
29027,1954,1224,649,(D),1238
29029,3777,510,1177,134,3581
29031,7154,1352,2587,558,4279
29033,400,(D),(D),(D),(D)
29035,224,140,(D),14,(D)
29037,5708,2873,2888,534,3433
29039,724,(D),(D),20,382
29041,357,(D),88,(D),(D)
29043,4197,1139,1468,320,2348
29045,336,87,39,9,150
29047,15487,8285,9976,1968,10975
29049,611,(D),323,(D),(D)
29051,7644,1006,3563,778,3639
29053,1003,323,(D),227,(D)
29055,1007,(D),386,20,594
29057,288,(D),(D),12,117
29059,725,(D),133,(D),329
29061,405,(D),82,(D),(D)
29063,694,(D),102,14,176
29065,670,(D),(D),(D),356
29067,551,(D),(D),(D),(D)
29069,1675,(D),(D),(D),795
29071,6705,1997,2687,547,3801
29073,836,278,336,(D),(D)
29075,378,(D),114,11,(D)
29077,23808,14194,12389,3910,17273
29079,493,200,163,14,(D)
29081,700,149,(D),11,(D)
29083,1452,277,(D),(D),796
29085,406,(D),54,12,105
29087,275,(D),(D),9,(D)
29089,455,(D),(D),(D),(D)
29091,2630,(D),930,109,1353
29093,467,169,98,12,194
29095,42861,(D),22181,9868,38335
29097,9238,6567,4967,725,5003
29099,9965,3040,4921,793,6213
29101,2292,657,(D),336,2019
29103,182,(D),(D),(D),(D)
29105,2443,(D),1019,74,1260
29107,1461,499,622,(D),904
29109,1771,818,368,(D),897
29111,412,250,(D),(D),(D)
29113,2379,1161,1046,191,1122
29115,716,(D),(D),(D),(D)
29117,1311,(D),621,57,(D)
29119,1093,282,(D),24,384
29121,909,(D),306,(D),591
29123,657,232,(D),11,324
29125,297,145,80,23,65
29127,2888,643,(D),(D),1483
29129,135,(D),(D),11,(D)
29131,1997,409,803,(D),637
29133,499,568,(D),(D),(D)
29135,684,(D),(D),(D),247
29137,295,(D),(D),(D),179
29139,491,(D),98,11,254
29141,1178,352,257,24,646
29143,1506,(D),162,(D),(D)
29145,3307,1203,1004,109,2160
29147,1324,202,204,124,930
29149,574,462,(D),12,177
29151,605,203,141,101,(D)
29153,365,133,(D),(D),(D)
29155,856,283,173,(D),(D)
29157,1409,(D),(D),198,(D)
29159,2881,1205,1139,201,1738
29161,2967,1964,661,250,2185
29163,1140,(D),(D),19,398
29165,7836,4565,6765,1425,5839
29167,1579,(D),524,723,611
29169,2268,391,809,313,2660
29171,219,(D),(D),14,(D)
29173,410,(D),256,14,(D)
29175,1437,1183,(D),73,667
29177,930,283,(D),(D),378
29179,188,89,(D),1,138
29181,507,(D),82,15,215
29183,25985,7673,13608,5289,19335
29185,477,173,150,11,110
29186,783,372,299,(D),522
29187,3866,862,2089,222,2255
29189,78040,30328,58853,22728,56769
29195,1185,(D),(D),(D),684
29197,153,(D),(D),9,(D)
29199,215,122,(D),15,(D)
29201,1650,1508,909,(D),1305
29203,254,185,(D),(D),(D)
29205,316,126,95,12,(D)
29207,1530,548,446,(D),771
29209,1332,215,922,52,978
29211,286,(D),(D),11,(D)
29213,5621,948,3541,(D),9206
29215,1108,508,330,(D),(D)
29217,1023,343,(D),(D),(D)
29219,1260,490,508,(D),734
29221,785,328,214,(D),286
29223,409,160,(D),12,250
29225,1711,634,827,58,775
29227,102,60,(D),9,23
29229,1053,356,225,(D),(D)
29510,10190,(D),16022,20670,22540
29998,295790,123660,179528,77867,226604
29999,88045,29126,29142,7405,56238
16020,7679,1666,(D),595,(D)
17860,14312,"3,359 E",6038,(D),12541
27620,10887,(D),(D),2122,(D)
27900,12545,7770,5971,834,7163
28140,(D),71529,88526,(D),(D)
41140,7885,2901,4260,(D),4575
41180,172956,77403,110526,56472,138553
44180,32020,16610,15341,(D),21336
14700,5621,948,3541,(D),9206
22100,3866,862,2089,222,2255
22780,2268,391,809,313,2660
22800,3213,1169,1461,246,(D)
25300,3298,(D),(D),(D),"1,483 E"
28380,1675,(D),(D),(D),795
28860,2009,326,317,(D),"1,345 E"
30060,2443,(D),1019,74,1260
32180,1185,(D),(D),(D),684
32340,1324,202,204,124,930
33020,1384,569,529,(D),595
33620,1437,1183,(D),73,667
38740,3740,(D),1490,(D),2264
39500,5819,1607,"1,741 E",(D),"3,020 E"
40620,2967,1964,661,250,2185
42740,2881,1205,1139,201,1738
43460,1650,1508,909,(D),1305
47660,2292,657,(D),336,2019
48460,2630,(D),930,109,1353
89161,6820,2556,"2,518 E",518,3528
89164,9329,3174,"3,551 E",(D),"5,695 E"
89190,17133,"5,111 E","6,197 E",4402,13803
89309,13965,"7,770 E",6718,834 E,8369
89312,"147,109 E",(D),"95,653 E",28843,"113,633 E"
89448,9117,"2,250 E",2651,1514,4807
89476,178413,79643,113123,56812,141942
