GeoFips,educational_services
29000,85272
29001,(D)
29003,(D)
29005,0
29007,(D)
29009,57
29011,34
29013,(D)
29015,(D)
29017,(D)
29019,3326
29021,463
29023,(D)
29025,14
29027,(D)
29029,134
29031,558
29033,(D)
29035,14
29037,534
29039,20
29041,(D)
29043,320
29045,9
29047,1968
29049,(D)
29051,778
29053,227
29055,20
29057,12
29059,(D)
29061,(D)
29063,14
29065,(D)
29067,(D)
29069,(D)
29071,547
29073,(D)
29075,11
29077,3910
29079,14
29081,11
29083,(D)
29085,12
29087,9
29089,(D)
29091,109
29093,12
29095,9868
29097,725
29099,793
29101,336
29103,(D)
29105,74
29107,(D)
29109,(D)
29111,(D)
29113,191
29115,(D)
29117,57
29119,24
29121,(D)
29123,11
29125,23
29127,(D)
29129,11
29131,(D)
29133,(D)
29135,(D)
29137,(D)
29139,11
29141,24
29143,(D)
29145,109
29147,124
29149,12
29151,101
29153,(D)
29155,(D)
29157,198
29159,201
29161,250
29163,19
29165,1425
29167,723
29169,313
29171,14
29173,14
29175,73
29177,(D)
29179,1
29181,15
29183,5289
29185,11
29186,(D)
29187,222
29189,22728
29195,(D)
29197,9
29199,15
29201,(D)
29203,(D)
29205,12
29207,(D)
29209,52
29211,11
29213,(D)
29215,(D)
29217,(D)
29219,(D)
29221,(D)
29223,12
29225,58
29227,9
29229,(D)
29510,20670
29998,77867
29999,7405
16020,595
17860,(D)
27620,2122
27900,834
28140,(D)
41140,(D)
41180,56472
44180,(D)
14700,(D)
22100,222
22780,313
22800,246
25300,(D)
28380,(D)
28860,(D)
30060,74
32180,(D)
32340,124
33020,(D)
33620,73
38740,(D)
39500,(D)
40620,250
42740,201
43460,(D)
47660,336
48460,109
89161,518
89164,(D)
89190,4402
89309,834 E
89312,28843
89448,1514
89476,56812
