GeoFips,retail_trade
29000,383835
29001,1856
29003,563
29005,260
29007,1384
29009,1934
29011,615
29013,791
29015,947
29017,412
29019,12854
29021,6352
29023,3233
29025,642
29027,1954
29029,3777
29031,7154
29033,400
29035,224
29037,5708
29039,724
29041,357
29043,4197
29045,336
29047,15487
29049,611
29051,7644
29053,1003
29055,1007
29057,288
29059,725
29061,405
29063,694
29065,670
29067,551
29069,1675
29071,6705
29073,836
29075,378
29077,23808
29079,493
29081,700
29083,1452
29085,406
29087,275
29089,455
29091,2630
29093,467
29095,42861
29097,9238
29099,9965
29101,2292
29103,182
29105,2443
29107,1461
29109,1771
29111,412
29113,2379
29115,716
29117,1311
29119,1093
29121,909
29123,657
29125,297
29127,2888
29129,135
29131,1997
29133,499
29135,684
29137,295
29139,491
29141,1178
29143,1506
29145,3307
29147,1324
29149,574
29151,605
29153,365
29155,856
29157,1409
29159,2881
29161,2967
29163,1140
29165,7836
29167,1579
29169,2268
29171,219
29173,410
29175,1437
29177,930
29179,188
29181,507
29183,25985
29185,477
29186,783
29187,3866
29189,78040
29195,1185
29197,153
29199,215
29201,1650
29203,254
29205,316
29207,1530
29209,1332
29211,286
29213,5621
29215,1108
29217,1023
29219,1260
29221,785
29223,409
29225,1711
29227,102
29229,1053
29510,10190
29998,295790
29999,88045
16020,7679
17860,14312
27620,10887
27900,12545
28140,(D)
41140,7885
41180,172956
44180,32020
14700,5621
22100,3866
22780,2268
22800,3213
25300,3298
28380,1675
28860,2009
30060,2443
32180,1185
32340,1324
33020,1384
33620,1437
38740,3740
39500,5819
40620,2967
42740,2881
43460,1650
47660,2292
48460,2630
89161,6820
89164,9329
89190,17133
89309,13965
89312,"147,109 E"
89448,9117
89476,178413
