GeoFips,transportation_warehousing
29000,152786
29001,(D)
29003,(D)
29005,127
29007,569
29009,(D)
29011,(D)
29013,237
29015,(D)
29017,(D)
29019,3036
29021,2287
29023,910
29025,205
29027,1224
29029,510
29031,1352
29033,(D)
29035,140
29037,2873
29039,(D)
29041,(D)
29043,1139
29045,87
29047,8285
29049,(D)
29051,1006
29053,323
29055,(D)
29057,(D)
29059,(D)
29061,(D)
29063,(D)
29065,(D)
29067,(D)
29069,(D)
29071,1997
29073,278
29075,(D)
29077,14194
29079,200
29081,149
29083,277
29085,(D)
29087,(D)
29089,(D)
29091,(D)
29093,169
29095,(D)
29097,6567
29099,3040
29101,657
29103,(D)
29105,(D)
29107,499
29109,818
29111,250
29113,1161
29115,(D)
29117,(D)
29119,282
29121,(D)
29123,232
29125,145
29127,643
29129,(D)
29131,409
29133,568
29135,(D)
29137,(D)
29139,(D)
29141,352
29143,(D)
29145,1203
29147,202
29149,462
29151,203
29153,133
29155,283
29157,(D)
29159,1205
29161,1964
29163,(D)
29165,4565
29167,(D)
29169,391
29171,(D)
29173,(D)
29175,1183
29177,283
29179,89
29181,(D)
29183,7673
29185,173
29186,372
29187,862
29189,30328
29195,(D)
29197,(D)
29199,122
29201,1508
29203,185
29205,126
29207,548
29209,215
29211,(D)
29213,948
29215,508
29217,343
29219,490
29221,328
29223,160
29225,634
29227,60
29229,356
29510,(D)
29998,123660
29999,29126
16020,1666
17860,"3,359 E"
27620,(D)
27900,7770
28140,71529
41140,2901
41180,77403
44180,16610
14700,948
22100,862
22780,391
22800,1169
25300,(D)
28380,(D)
28860,326
30060,(D)
32180,(D)
32340,202
33020,569
33620,1183
38740,(D)
39500,1607
40620,1964
42740,1205
43460,1508
47660,657
48460,(D)
89161,2556
89164,3174
89190,"5,111 E"
89309,"7,770 E"
89312,(D)
89448,"2,250 E"
89476,79643
