GeoFips,retail_trade,transportation_warehousing,admin_support_waste,educational_services,accommodation_food,frontline
29000,383835,152786,208670,85272,282842,1113405
29001,1856,0,0,0,1345,3201
29003,563,0,285,0,137,985
29005,260,127,0,0,153,540
29007,1384,569,529,0,595,3077
29009,1934,0,859,57,1112,3962
29011,615,0,323,34,0,972
29013,791,237,0,0,378,1406
29015,947,0,162,0,496,1605
29017,412,0,0,0,0,412
29019,12854,3036,5668,3326,11461,36345
29021,6352,2287,3697,463,4176,16975
29023,3233,910,1408,0,2049,7600
29025,642,205,92,14,0,953
29027,1954,1224,649,0,1238,5065
29029,3777,510,1177,134,3581,9179
29031,7154,1352,2587,558,4279,15930
29033,400,0,0,0,0,400
29035,224,140,0,14,0,378
29037,5708,2873,2888,534,3433,15436
29039,724,0,0,20,382,1126
29041,357,0,88,0,0,445
29043,4197,1139,1468,320,2348,9472
29045,336,87,39,9,150,621
29047,15487,8285,9976,1968,10975,46691
29049,611,0,323,0,0,934
29051,7644,1006,3563,778,3639,16630
29053,1003,323,0,227,0,1553
29055,1007,0,386,20,594,2007
29057,288,0,0,12,117,417
29059,725,0,133,0,329,1187
29061,405,0,82,0,0,487
29063,694,0,102,14,176,986
29065,670,0,0,0,356,1026
29067,551,0,0,0,0,551
29069,1675,0,0,0,795,2470
29071,6705,1997,2687,547,3801,15737
29073,836,278,336,0,0,1450
29075,378,0,114,11,0,503
29077,23808,14194,12389,3910,17273,71574
29079,493,200,163,14,0,870
29081,700,149,0,11,0,860
29083,1452,277,0,0,796,2525
29085,406,0,54,12,105,577
29087,275,0,0,9,0,284
29089,455,0,0,0,0,455
29091,2630,0,930,109,1353,5022
29093,467,169,98,12,194,940
29095,42861,0,22181,9868,38335,113245
29097,9238,6567,4967,725,5003,26500
29099,9965,3040,4921,793,6213,24932
29101,2292,657,0,336,2019,5304
29103,182,0,0,0,0,182
29105,2443,0,1019,74,1260,4796
29107,1461,499,622,0,904,3486
29109,1771,818,368,0,897,3854
29111,412,250,0,0,0,662
29113,2379,1161,1046,191,1122,5899
29115,716,0,0,0,0,716
29117,1311,0,621,57,0,1989
29119,1093,282,0,24,384,1783
29121,909,0,306,0,591,1806
29123,657,232,0,11,324,1224
29125,297,145,80,23,65,610
29127,2888,643,0,0,1483,5014
29129,135,0,0,11,0,146
29131,1997,409,803,0,637,3846
29133,499,568,0,0,0,1067
