GeoFips,GDP (Thousands of dollars)
29000,318920957
29001,863728
29003,318311
29005,277298
29007,1012363
29009,1363419
29011,374576
29013,452839
29015,400935
29017,211337
29019,9209748
29021,4863732
29023,1553976
29025,248913
29027,1826106
29029,1510076
29031,4087776
29033,313770
29035,139272
29037,2835816
29039,297739
29041,231990
29043,1602272
29045,155452
29047,11146685
29049,393029
29051,4815975
29053,525305
29055,645903
29057,182029
29059,300454
29061,193664
29063,353588
29065,349965
29067,681053
29069,819275
29071,4540205
29073,456662
29075,223440
29077,16857130
29079,501956
29081,301026
29083,778399
29085,144257
29087,173805
29089,257781
29091,1267179
29093,421421
29095,47496821
29097,5865983
29099,5438654
29101,1775134
29103,119446
29105,1181386
29107,836468
29109,905234
29111,244246
29113,1168244
29115,448306
29117,621395
29119,597423
29121,594700
29123,298110
29125,159272
29127,1181503
29129,99931
29131,960399
29133,394545
29135,439489
29137,270965
29139,327165
29141,469359
29143,1197359
29145,1881154
29147,801973
29149,228169
29151,437718
29153,169778
29155,471189
29157,966725
29159,1718172
29161,1679778
29163,531093
29165,6716221
29167,779198
29169,2286913
29171,128038
29173,386389
29175,1306691
29177,466143
29179,232054
29181,233393
29183,16358322
29185,167482
29186,708652
29187,2339435
29189,79627801
29195,986582
29197,80535
29199,133011
29201,1573621
29203,139683
29205,175282
29207,1258879
29209,665814
29211,239639
29213,2417968
29215,486943
29217,961986
29219,1082653
29221,408054
29223,244420
29225,756505
29227,65222
29229,417381
29510,32631130
29998,266829509
29999,52091448
16020,4498284
17860,9992834
27620,7519287
27900,7747137
28140,132703700
41140,5766963
41180,169839353
44180,20295559
14700,2417968
22100,2339435
22780,2286913
22800,2669216
25300,1567892
28380,819275
28860,944263
30060,1181386
32180,986582
32340,801973
33020,1012363
33620,1306691
38740,1787369
39500,3921183
40620,1679778
42740,1718172
43460,1573621
47660,1775134
48460,1267179
89161,5346818
89164,6071905
89190,12311888
89309,8739005
89312,146807316
89448,5489076
89476,173712457
