GeoFips,GDP (Thousands of dollars),In labor force,Unemployment Rate,Retail trade,"Transportation and warehousing, and utilities",Administrative and support and waste management services,"Educational services, and health care and social assistance",Accommodation and food services
29001,863728,11611,6.47,26500,39519,26758,40884,16667
29003,318311,8780,3.14,31821,47188,26250,41347,22008
29005,277298,2739,3.29,27083,62500,33906,37019,17917
29007,1012363,11578,7.14,29154,33750,24643,32336,20403
29009,1363419,15311,4.71,27215,41816,41118,31953,24188
29011,374576,5513,5.77,25769,57279,24167,36551,40625
29013,452839,7965,4.39,29926,52969,34286,31931,17558
29015,400935,7162,8.22,32734,44375,29853,38690,23125
29017,211337,5295,4.46,26719,53750,38295,34205,21806
29019,9209748,97729,4.26,33304,50942,32412,44376,22071
29021,4863732,44273,5.12,31000,52601,29632,39483,23576
29023,1553976,18828,9.27,24077,52822,30409,35973,19310
29025,248913,3979,2.51,29400,42500,26875,40882,28750
29027,1826106,21151,3.31,31013,54896,18750,37256,31750
29029,1510076,19528,6.46,26257,56715,32250,40191,22115
29031,4087776,39806,5.13,37564,50273,31339,41059,23351
29033,313770,4045,8.55,30147,59500,16319,31758,18750
29035,139272,2641,7.04,25852,60568,22115,37083,90156
29037,2835816,52962,4.31,36213,57552,39915,43377,20913
29039,297739,5763,9.02,27882,57316,,30000,20625
29041,231990,3264,3.25,36111,57321,18750,34714,24375
29043,1602272,41810,4.25,32136,53243,31125,39556,29873
29045,155452,3408,3.61,32500,52950,24219,31563,17330
29047,11146685,130998,4.03,35741,55998,35318,46302,24747
29049,393029,9960,4.96,41496,71818,40750,38787,16765
29051,4815975,39125,4.06,33654,51394,36640,42339,21315
29053,525305,8061,4.69,28487,48158,22039,36982,22344
29055,645903,10501,10.08,30784,48533,35750,31271,17903
29057,182029,3397,8.57,32143,56250,33281,34615,
29059,300454,6558,5.11,31000,42429,26908,27649,21875
29061,193664,3625,3.17,27969,51071,34583,30625,82750
29063,353588,4409,2.86,30265,60227,22396,38398,14537
29065,349965,6655,6.39,33125,55150,52875,35078,18173
29067,681053,5118,6.17,29375,47455,28466,36250,7148
29069,819275,12287,7.57,29207,43609,19688,33659,21970
29071,4540205,52576,4.27,34980,63559,44459,40993,22471
29073,456662,7063,2.44,31542,58478,31250,32363,20915
29075,223440,3142,3.56,28352,43438,36000,30811,20188
29077,16857130,144675,4.43,31280,50618,31378,38301,23488
29079,501956,4758,3.53,26000,51923,37763,37139,21310
29081,301026,3948,4.51,25167,50833,9688,32224,21000
29083,778399,9473,6.43,31803,56336,46944,34321,26055
29085,144257,3487,6.54,20625,34157,31250,36313,16071
29087,173805,2155,3.94,36875,51458,23125,30982,21042
29089,257781,4933,4.16,33393,63583,28929,32303,17500
29091,1267179,17410,4.53,30176,53587,25793,33860,17409
29093,421421,4186,7.21,24758,49653,27227,31822,16875
29095,47496821,362349,5.05,34569,50624,32811,42266,23550
29097,5865983,59959,5.32,29550,48596,36284,39433,22183
29099,5438654,117120,5.66,35324,59107,35139,42364,28022
29101,1775134,28639,4.59,28125,54315,36757,35339,18222
29103,119446,1688,6.69,33333,58125,12292,36917,14375
29105,1181386,16191,6.85,30682,46830,40000,33891,21005
29107,836468,16025,4.44,35152,49722,31471,37960,19817
29109,905234,17947,6.16,29538,59464,30375,29773,14789
29111,244246,4760,2.58,31212,51033,22000,31970,25750
29113,1168244,27508,4.16,32933,48497,35203,37091,24387
29115,448306,5653,2.78,31600,53125,31389,34518,18958
29117,621395,6771,2.27,31442,51593,35273,40345,17296
29119,597423,9860,4.4,31884,51366,25905,36008,35257
29121,594700,6690,4.78,26434,46607,30278,32410,21367
29123,298110,5274,4.11,26321,63648,24688,30315,31818
29125,159272,4013,6.83,31335,40313,,31508,19792
29127,1181503,13802,5.16,27396,58516,33750,35437,22015
29129,99931,1705,2.52,29167,49000,17292,40119,21875
29131,960399,11514,5.85,28986,50880,26895,33082,21915
29133,394545,5028,7.44,26204,59519,33400,31504,13561
29135,439489,7004,5.21,31851,48783,22153,39646,26181
29137,270965,4044,3.88,32277,42000,31250,29412,18958
29139,327165,5240,3.99,27031,46750,41771,33309,21250
29141,469359,7680,3.8,21853,48362,27500,30124,21685
29143,1197359,7251,8.67,25938,47455,40161,35145,25278
29145,1881154,27985,3.98,30997,43839,24643,41680,21484
29147,801973,11515,3.85,24167,55156,20625,38243,17898
29149,228169,4220,2.96,24083,49444,7813,27000,24125
29151,437718,7165,2.43,35722,40341,43750,36250,19519
29153,169778,3380,7.13,20455,46838,33750,32865,23333
29155,471189,6763,9.79,33250,57292,18646,29496,22578
29157,966725,9586,3.75,27036,52941,22264,41116,18438
29159,1718172,19882,5.9,31581,46370,26250,35744,21875
29161,1679778,20328,6.03,30673,51175,31310,40237,26354
29163,531093,7897,4.52,31127,38021,23710,36702,13722
29165,6716221,55074,3.68,40928,53095,35489,51313,32096
29167,779198,14881,4.86,30152,59044,21908,34595,19364
29169,2286913,29680,5.33,25394,36477,29904,36403,22623
29171,128038,2083,4.9,31607,53295,25156,36250,18036
29173,386389,5245,4.46,35609,42109,70260,38019,16556
29175,1306691,10895,5.73,34480,42727,41488,32820,23750
29177,466143,11314,4.98,34545,53790,21750,40313,26101
29179,232054,2660,6.65,27941,41136,36250,31495,33750
29181,233393,5507,6.79,31000,50913,24743,29183,20536
29183,16358322,215880,3.33,42318,59888,42364,48700,27275
29185,167482,3746,4.11,28750,57917,32143,33333,15893
29186,708652,9156,4.35,31761,52209,53894,39327,19453
29187,2339435,28621,5.7,27795,64964,32753,39360,21657
29189,79627801,524849,5.17,39172,51443,37265,49513,25635
29195,986582,10955,3.94,30534,60214,22318,29471,22348
29197,80535,1975,4.0,26429,55625,,29432,21607
29199,133011,2202,5.0,19605,51935,24271,39861,12625
29201,1573621,17754,5.19,26820,53134,16563,33100,18079
29203,139683,3099,6.32,20385,69028,,32455,32917
29205,175282,3052,3.44,32794,49028,39167,24089,16000
29207,1258879,13402,5.8,26574,41391,27692,32172,22109
29209,665814,12958,6.68,31645,46761,25192,36196,23657
29211,239639,2743,3.06,27222,43438,45385,33333,12798
29213,2417968,26131,5.79,26597,39795,36144,37873,24650
29215,486943,9656,9.01,31416,34697,37578,29203,23750
29217,961986,9920,3.67,25332,54539,20224,35367,27750
29219,1082653,15871,5.65,34020,44279,31029,41020,19771
29221,408054,9921,8.96,26694,39250,39877,33667,22188
29223,244420,4656,9.02,23689,53676,19698,33348,10568
29225,756505,16344,4.69,39479,55875,31411,32355,19450
29227,65222,964,3.84,22404,31094,,37750,29688
29229,417381,7280,8.04,22773,30096,25714,26946,18167
29510,32631130,167945,8.27,32428,48980,30007,41426,25990
17001,3676937,34121,4.75,29111,49360,36181,40957,25965
17003,199171,2385,7.0,18470,42803,29531,30881,55338
17005,617298,7812,3.85,30917,61250,37083,35899,31964
17007,1931882,27675,6.82,26972,63120,42926,50600,30625
17009,445261,2559,4.34,30000,54647,,43750,33750
17011,1340134,16940,5.31,35758,54439,32222,41217,20848
17013,121332,2157,5.1,45592,51875,24196,44464,27344
17015,506844,7064,6.61,31087,55156,35341,40525,25595
17017,675352,6556,6.31,25843,49116,21500,33094,18971
17019,11675933,108838,4.78,34668,50642,37756,50027,26109
17021,1475299,15498,3.42,33496,52512,29857,40147,21780
17023,638351,8299,6.34,36090,52422,9934,39818,17014
17025,648382,6448,5.51,31103,53047,85045,32875,22750
17027,1310475,19378,3.35,37292,56818,31136,41343,30852
17029,2562035,26520,5.73,31336,52250,23877,38816,25026
17031,411671713,2765106,7.77,37326,50985,35378,51900,28942
17033,2875018,8457,5.4,36250,53036,35385,38871,25714
17035,360077,5454,3.37,29286,51429,19773,38516,34375
17037,4120286,56673,7.44,32639,53843,41379,45111,25729
17039,1232780,8614,5.48,30110,61343,31273,41618,19779
17041,1100374,9805,4.31,31579,52639,43000,40258,17273
17043,91380287,513461,4.54,42309,57014,46312,59569,31900
17045,834905,8839,6.03,32379,54485,25724,38925,21692
17047,309969,3239,6.05,31786,50208,45481,37955,18125
17049,2256812,18059,3.93,32533,53798,34076,37369,23052
17051,657542,9274,6.98,33560,57446,15000,35179,20938
17053,809178,6618,5.33,29479,57135,30278,44650,29519
17055,1362520,16966,8.48,31062,44900,36750,40736,23015
17057,1036608,16170,6.71,30292,58259,27379,37076,23934
